index,male_bmi,male_stature_mm
1247,35.1,1629.0
1248,24.0,1816.0
1249,18.5,1777.0
1250,31.6,1616.0
1251,28.8,1724.0
1252,23.8,1856.0
1253,27.8,1663.0
1254,21.3,1715.0
1255,23.3,1652.0
1256,33.3,1780.0
1257,34.2,1709.0
1258,35.8,1735.0
1259,27.4,1682.0
1260,22.7,1822.0
1261,26.9,1542.0
1262,28.0,1824.0
1263,27.8,1681.0
1264,29.9,1678.0
1265,32.2,1623.0
1266,27.3,1764.0
1267,26.6,1685.0
1268,28.1,1683.0
1269,19.6,1615.0
1270,31.5,1753.0
1271,33.2,1659.0
1272,24.2,1774.0
1273,26.6,1761.0
1274,22.2,1783.0
1275,26.7,1729.0
1276,31.7,1667.0
1277,27.7,1776.0
1278,31.2,1689.0
1279,27.2,1687.0
1280,24.2,1740.0
1281,23.8,1698.0
1282,27.5,1948.0
1283,26.6,1636.0
1284,30.7,1780.0
1285,24.9,1835.0
1286,27.3,1718.0
1287,26.0,1703.0
1288,26.1,1835.0
1289,28.1,1560.0
1290,23.9,1638.0
1291,23.8,1651.0
1292,27.3,1650.0
1293,24.2,1688.0
1294,27.6,1644.0
1295,27.4,1831.0
1296,22.5,1704.0
1297,24.6,1530.0
1298,34.2,1732.0
1299,28.0,1687.0
1300,31.7,1615.0
1301,31.0,1638.0
1302,21.6,1762.0
1303,29.0,1685.0
1304,26.3,1684.0
1305,21.5,1661.0
1306,29.4,1828.0
1307,33.7,1683.0
1308,22.3,1764.0
1309,24.7,1721.0
1310,21.2,1691.0
1311,26.7,1644.0
1312,34.7,1802.0
1313,31.5,1630.0
1314,27.1,1694.0
1315,31.1,1829.0
1316,25.5,1752.0
1317,27.7,1702.0
1318,27.1,1533.0
1319,24.1,1656.0
1320,25.8,1817.0
1321,24.4,1634.0
1322,31.7,1670.0
1323,25.0,1684.0
1324,25.6,1607.0
1325,26.9,1699.0
1326,27.0,1603.0
1327,32.3,1798.0
1328,24.2,1729.0
1329,25.1,1691.0
1330,24.8,1720.0
1331,37.8,1675.0
1332,27.1,1834.0
1333,30.7,1698.0
1334,36.8,1670.0
1335,34.4,1793.0
1336,26.9,1774.0
1337,26.1,1567.0
1338,19.6,1727.0
1339,31.4,1931.0
1340,25.4,1719.0
1341,26.8,1678.0
1342,30.1,1654.0
1343,40.8,1923.0
1344,28.8,1698.0
1345,25.9,1733.0
1346,23.7,1762.0
1347,22.7,1675.0
1348,31.5,1795.0
1349,25.3,1726.0
1350,24.5,1857.0
1351,27.8,1633.0
1352,33.0,1722.0
1353,25.8,1634.0
1354,31.2,1707.0
1355,32.4,1637.0
1356,29.0,1792.0
1357,24.9,1743.0
1358,27.3,1642.0
1359,28.3,1700.0
1360,25.2,1843.0
1361,25.0,1727.0
1362,22.5,1631.0
1363,33.7,1814.0
1364,25.6,1775.0
1365,20.3,1771.0
1366,30.2,1704.0
1367,27.9,1676.0
1368,27.7,1666.0
1369,41.0,1779.0
1370,27.3,1668.0
1371,35.3,1645.0
1372,24.7,1737.0
1373,36.2,1717.0
1374,34.4,1648.0
1375,36.8,1608.0
1376,25.2,1620.0
1377,24.4,1787.0
1378,23.5,1732.0
1379,23.3,1758.0
1380,24.3,1639.0
1381,25.0,1896.0
1382,34.7,1811.0
1383,26.7,1790.0
1384,23.9,1667.0
1385,35.8,1796.0
1386,24.6,1570.0
1387,27.5,1726.0
1388,27.4,1711.0
1389,35.9,1752.0
1390,25.0,1748.0
1391,27.6,1705.0
1392,28.2,1679.0
1393,27.5,1758.0
1394,23.3,1808.0
1395,24.1,1664.0
1396,33.2,1801.0
1397,22.9,1707.0
1398,22.7,1678.0
1399,24.9,1628.0
1400,24.3,1648.0
1401,24.8,1728.0
1402,22.3,1647.0
1403,18.9,1727.0
1404,29.2,1679.0
1405,28.6,1763.0
1406,30.2,1891.0
1407,27.1,1784.0
1408,28.7,1673.0
1409,32.7,1709.0
1410,22.8,1703.0
1411,30.4,1726.0
1412,25.5,1727.0
1413,25.9,1638.0
1414,28.9,1698.0
1415,29.7,1640.0
1416,43.4,1715.0
1417,27.6,1697.0
1418,28.9,1762.0
1419,27.7,1840.0
1420,24.3,1641.0
1421,33.7,1643.0
1422,31.9,1699.0
1423,33.9,1733.0
1424,24.7,1598.0
1425,26.2,1629.0
1426,29.2,1787.0
1427,34.1,1739.0
1428,29.1,1649.0
1429,36.9,1838.0
1430,37.3,1724.0
1431,32.4,1595.0
1432,39.4,1657.0
1433,24.3,1585.0
1434,23.2,1765.0
1435,21.9,1839.0
1436,32.1,1743.0
1437,23.9,1748.0
1438,22.9,1873.0
1439,23.3,1803.0
1440,41.6,1899.0
1441,50.7,1814.0
1442,24.0,1687.0
1443,20.3,1688.0
1444,26.2,1652.0
1445,27.2,1609.0
1446,38.7,1780.0
1447,29.2,1768.0
1448,20.9,1801.0
1449,17.7,1877.0
1450,31.7,1836.0
1451,26.9,1702.0
1452,32.8,1831.0
1453,29.1,1634.0
1454,31.3,1878.0
1455,31.7,1770.0
1456,24.4,1851.0
1457,19.5,1744.0
1458,25.8,1800.0
1459,31.9,1581.0
1460,25.8,1695.0
1461,22.2,1754.0
1462,28.6,1540.0
1463,26.1,1782.0
1464,30.0,1661.0
1465,31.7,1766.0
1466,25.8,1590.0
1467,29.5,1680.0
1468,25.5,1701.0
1469,32.6,1684.0
1470,19.8,1692.0
1471,45.8,1794.0
1472,42.3,1680.0
1473,27.1,1699.0
1474,28.9,1626.0
1475,33.6,1860.0
1476,17.7,1622.0
1477,17.7,1739.0
1478,21.8,1809.0
1479,32.4,1786.0
1480,32.0,1597.0
1481,36.4,1659.0
1482,36.9,1619.0
1483,26.6,1754.0
1484,23.9,1774.0
1485,30.7,1706.0
1486,31.3,1775.0
1487,29.3,1651.0
1488,29.8,1730.0
1489,24.2,1644.0
1490,28.1,1753.0
1491,26.8,1581.0
1492,22.7,1741.0
1493,19.6,1688.0
1494,28.8,1789.0
1495,36.4,1767.0
1496,26.3,1679.0
1497,28.8,1682.0
1498,39.4,1712.0
1499,24.5,1757.0
1500,32.3,1848.0
1501,32.3,1762.0
1502,20.7,1773.0
1503,32.5,1733.0
1504,33.1,1735.0
1505,38.8,1689.0
1506,26.9,1678.0
1507,20.9,1710.0
1508,28.0,1802.0
1509,25.2,1848.0
1510,24.2,1606.0
1511,27.2,1810.0
1512,28.0,1761.0
1513,31.2,1682.0
1514,30.6,1740.0
1515,35.6,1783.0
1516,34.6,1696.0
1517,30.4,1728.0
1518,36.6,1809.0
1519,31.9,1683.0
1520,30.4,1684.0
1521,25.9,1707.0
1522,32.6,1760.0
1523,24.1,1591.0
1524,28.3,1668.0
1525,22.3,1711.0
1526,31.2,1635.0
1527,29.4,1646.0
1528,26.0,1764.0
1529,32.9,1794.0
1530,37.8,1573.0
1531,24.7,1875.0
1532,28.4,1770.0
1533,31.7,1623.0
1534,22.7,1752.0
1535,29.6,1700.0
1536,26.4,1855.0
1537,27.9,1741.0
1538,36.1,1726.0
1539,26.5,1856.0
1540,23.6,1696.0
1541,26.6,1790.0
1542,36.0,1666.0
1543,29.0,1782.0
1544,33.9,1714.0
1545,24.5,1673.0
1546,30.5,1790.0
1547,23.1,1919.0
1548,24.9,1760.0
1549,28.4,1817.0
1550,24.2,1729.0
1551,21.7,1738.0
1552,29.5,1657.0
1553,28.8,1687.0
1554,19.1,1824.0
1555,49.4,1883.0
1556,30.0,1741.0
1557,26.3,1704.0
1558,33.1,1735.0
1559,24.9,1760.0
